logic,type,inputs,coverage,escape_risk,specificity,leak_burden,leak_tissues,n_crit_leak,protease,prot_spec,prot_cov,crit_leak_before,crit_rescued,crit_still_leak,rescue_frac,safety,complexity_penalty,final_score
(ATP6V0A2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.47883838415145874,0.5211616158485413,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9504800561326033,0.1,0.7934
(ATP6V0A2 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.47883838415145874,0.5211616158485413,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9504800561326033,0.1,0.7934
(DSG2 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.5147558450698853,0.48524415493011475,,,,,ADAM12,0.6592,90.1,Heart_Atrial_Appendage;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Heart_Atrial_Appendage;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8685215317671576,0.1,0.793
(DSG2 OR EPCAM) AND FAP,OR_AND_protease,3,0.5147558450698853,0.48524415493011475,,,,,FAP,0.4078,77.2,Heart_Atrial_Appendage;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Heart_Atrial_Appendage;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8685215317671576,0.1,0.793
(DSG2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.5147558450698853,0.48524415493011475,,,,,MMP11,0.6968,97.1,Heart_Atrial_Appendage;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Heart_Atrial_Appendage;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8685215317671576,0.1,0.793
(TACSTD2 OR EPCAM) AND FAP,OR_AND_protease,3,0.5619090795516968,0.4380909204483032,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.759793770193641,0.1,0.7919
(TACSTD2 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.5619090795516968,0.4380909204483032,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.759793770193641,0.1,0.7919
(TACSTD2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.5619090795516968,0.4380909204483032,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.759793770193641,0.1,0.7919
(ADAM12 OR EPCAM) AND FAP,OR_AND_protease,3,0.47849041223526,0.52150958776474,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9457260021430695,0.1,0.7909
(ADAM12 OR EPCAM) AND MMP11,OR_AND_protease,3,0.47849041223526,0.52150958776474,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9457260021430695,0.1,0.7909
(ADAM12 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.47849041223526,0.52150958776474,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9457260021430695,0.1,0.7909
(CDCP1 OR EPCAM) AND FAP,OR_AND_protease,3,0.48598092794418335,0.5140190720558167,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9150596967174421,0.1,0.7847
