logic,type,inputs,coverage,escape_risk,specificity,leak_burden,leak_tissues,n_crit_leak,protease,prot_spec,prot_cov,crit_leak_before,crit_rescued,crit_still_leak,rescue_frac,safety,complexity_penalty,final_score
OPN3 OR LMBR1,OR,2,0.20936515927314758,0.7906348705291748,,58.599833547672254,Adrenal_Gland;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Fallopian_Tube;Ovary;Pituitary;Testis;Thyroid;Uterus,2.0,,,,,,,,0.7890893665290232,0.05,0.4973
DSC2 AND TACSTD2,AND,2,0.14430436491966248,0.8556956052780151,,17.88996916198466,Esophagus_Mucosa;Minor_Salivary_Gland;Vagina,0.0,,,,,,,,0.935610999207688,0.05,0.4972
DSC2 OR TSPAN14,OR,2,0.31865251064300537,0.6813474893569946,,127.20748625607425,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Coronary;Bladder;Breast_Mammary_Tissue;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina;Whole_Blood,3.0,,,,,,,,0.5421589126751891,0.05,0.4971
TMEM106B OR EFNA4,OR,2,0.2951987087726593,0.7048013210296631,,112.53859293716921,Adrenal_Gland;Artery_Aorta;Artery_Tibial;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Spinal_cord_cervical_c-1;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina,3.0,,,,,,,,0.5949547210402683,0.05,0.497
LDLRAD4 OR TACSTD2,OR,2,0.38187140226364136,0.6181285977363586,,167.0341780059081,Artery_Aorta;Bladder;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Breast_Mammary_Tissue;Esophagus_Mucosa;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Pancreas;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Vagina,8.0,,,,,,,,0.39881596650150586,0.05,0.4967
TMEM106B AND MUC1,AND,2,0.16474969685077667,0.8352503180503845,,31.05352111869538,Artery_Aorta;Artery_Tibial;Cervix_Ectocervix;Cervix_Endocervix;Fallopian_Tube;Nerve_Tibial;Thyroid;Uterus,0.0,,,,,,,,0.8882331669880901,0.05,0.4966
SLC37A1 OR TACSTD2,OR,2,0.37806475162506104,0.621935248374939,,165.20138426949097,Bladder;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_EBV-transformed_lymphocytes;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Pancreas;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Testis;Thyroid;Vagina,5.0,,,,,,,,0.4054124986854224,0.05,0.4958
DSG2 OR EFNA5,OR,2,0.2829192280769348,0.7170807719230652,,105.59162696138604,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Aorta;Brain_Frontal_Cortex_BA9;Breast_Mammary_Tissue;Cells_EBV-transformed_lymphocytes;Colon_Transverse;Esophagus_Mucosa;Heart_Atrial_Appendage;Kidney_Cortex;Minor_Salivary_Gland;Ovary;Pancreas;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Thyroid;Vagina,4.0,,,,,,,,0.619958017226456,0.05,0.4958
OPN3 OR MET,OR,2,0.1987229287624359,0.8012770414352417,,52.9191601785754,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Kidney_Cortex;Kidney_Medulla;Liver;Minor_Salivary_Gland;Nerve_Tibial;Thyroid,3.0,,,,,,,,0.8095350631510663,0.05,0.4957
PRLR OR EFNA4,OR,2,0.23869264125823975,0.7613073587417603,,78.08004292757737,Adrenal_Gland;Breast_Mammary_Tissue;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina,0.0,,,,,,,,0.7189768243641956,0.05,0.4955
BACE2 OR PLAUR,OR,2,0.35481560230255127,0.6451843976974487,,150.8741340383443,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Stomach;Thyroid;Uterus;Vagina;Whole_Blood,3.0,,,,,,,,0.45697867625297595,0.05,0.4954
TMEM106B AND VTCN1,AND,2,0.11374892294406891,0.8862510919570923,,0.0,,0.0,,,,,,,,1.0,0.05,0.4951
FAT1 OR SLC26A2,OR,2,0.36508941650390625,0.6349105834960938,,157.57644719517637,Adipose_Subcutaneous;Adrenal_Gland;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Thyroid;Uterus;Vagina,5.0,,,,,,,,0.4328559266127686,0.05,0.495
DSG2 OR CD109,OR,2,0.3163398802280426,0.6836601495742798,,127.33267325930592,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Aorta;Artery_Tibial;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Mucosa;Heart_Atrial_Appendage;Kidney_Cortex;Lung;Minor_Salivary_Gland;Ovary;Pancreas;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Thyroid;Uterus;Vagina,4.0,,,,,,,,0.5417083436452883,0.05,0.4945
OPN3 OR EPHB3,OR,2,0.26574844121932983,0.7342515587806702,,95.65338634447208,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Stomach;Uterus;Vagina,2.0,,,,,,,,0.6557274127554571,0.05,0.4945
CDH3,single,1,0.14899103343486786,0.851008951663971,0.41852151678041466,53.426442353572284,Cervix_Ectocervix;Cervix_Endocervix;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Uterus;Vagina,0.0,,,,,,,,0.8077092694857977,0.0,0.4944
ATP6V0A2 OR NETO2,OR,2,0.14233966171741486,0.8576603531837463,,18.725468353644843,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Cells_EBV-transformed_lymphocytes,2.0,,,,,,,,0.9326038974275407,0.05,0.4938
ADAM12 OR NETO2,OR,2,0.15025991201400757,0.8497400879859924,,23.954373456318073,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes,2.0,,,,,,,,0.9137841905990689,0.05,0.4934
TMEM106B OR MET,OR,2,0.281691312789917,0.718308687210083,,106.45978192993839,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Adrenal_Gland;Artery_Aorta;Artery_Tibial;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Spinal_cord_cervical_c-1;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Liver;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Thyroid;Uterus,6.0,,,,,,,,0.6168333818259238,0.05,0.4932
GPR180 OR EFNA5,OR,2,0.16919077932834625,0.8308092355728149,,36.10025511050053,Artery_Aorta;Brain_Frontal_Cortex_BA9;Cells_Cultured_fibroblasts;Minor_Salivary_Gland;Pituitary;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Vagina,1.0,,,,,,,,0.870069124554331,0.05,0.4929
BACE2 OR LDLRAD4,OR,2,0.3614874482154846,0.6385125517845154,,156.65390764857605,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Prostate;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Thyroid;Uterus;Vagina,6.0,,,,,,,,0.4361763012349459,0.05,0.4929
DSG2 OR EFNA4,OR,2,0.30289381742477417,0.6971061825752258,,119.97866158063634,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Adrenal_Gland;Breast_Mammary_Tissue;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Heart_Atrial_Appendage;Kidney_Cortex;Minor_Salivary_Gland;Ovary;Pancreas;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Stomach;Thyroid;Uterus;Vagina,3.0,,,,,,,,0.5681766656148269,0.05,0.4928
CDCP1 OR CD109,OR,2,0.2406369149684906,0.759363055229187,,81.2764806695166,Adipose_Subcutaneous;Artery_Aorta;Artery_Tibial;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Mucosa;Lung;Minor_Salivary_Gland;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Thyroid;Uterus;Vagina,1.0,,,,,,,,0.707472308597022,0.05,0.4923
CDCP1 OR EPHB3,OR,2,0.2685931622982025,0.7314068078994751,,98.92720901157114,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Thyroid;Uterus;Vagina,2.0,,,,,,,,0.6439443756581285,0.05,0.4921
FAT1 OR VTCN1,OR,2,0.32685932517051697,0.6731406450271606,,135.64304925284787,Adipose_Subcutaneous;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Thyroid;Uterus;Vagina,4.0,,,,,,,,0.5117979060370648,0.05,0.4917
PRLR OR MET,OR,2,0.2260652631521225,0.7739347219467163,,72.64045405778819,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Adrenal_Gland;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Kidney_Cortex;Kidney_Medulla;Liver;Minor_Salivary_Gland;Nerve_Tibial;Thyroid;Uterus,3.0,,,,,,,,0.7385548174213872,0.05,0.4915
CDH3 OR EPHB3,OR,2,0.2656870484352112,0.7343129515647888,,97.69649387564459,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Stomach;Uterus;Vagina,2.0,,,,,,,,0.6483739259354244,0.05,0.4911
BACE2 OR EGFR,OR,2,0.381850928068161,0.6181490421295166,,170.79611401707857,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Adrenal_Gland;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Medulla;Liver;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Thyroid;Uterus;Vagina,3.0,,,,,,,,0.3852761275777695,0.05,0.4906
PRLR OR DCBLD1,OR,2,0.19849781692028046,0.8015021681785583,,55.98450524348584,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Adrenal_Gland;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Lung;Pituitary;Small_Intestine_Terminal_Ileum;Testis;Thyroid;Uterus,1.0,,,,,,,,0.7985023719247091,0.05,0.4905
CDH3 OR ATP6V0A2,OR,2,0.20060577988624573,0.7993942499160767,,57.334471557868085,Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Uterus;Vagina,0.0,,,,,,,,0.7936436166468598,0.05,0.4904
ADAM12 OR MSLN,OR,2,0.16556833684444427,0.8344316482543945,,35.49856220304127,Adipose_Visceral_Omentum;Cells_Cultured_fibroblasts;Fallopian_Tube;Lung;Minor_Salivary_Gland,1.0,,,,,,,,0.8722347182870162,0.05,0.4902
SLC26A2 OR TSPAN14,OR,2,0.3557160794734955,0.6442838907241821,,154.87037637309632,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Adrenal_Gland;Artery_Coronary;Bladder;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina;Whole_Blood,5.0,,,,,,,,0.44259552955614423,0.05,0.4899
OPN3 AND BACE2,AND,2,0.11462895572185516,0.8853710293769836,,3.7726687377675994,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9864215321923842,0.05,0.4899
TMEM106B AND BACE2,AND,2,0.16403339803218842,0.8359665870666504,,34.88157407325203,Artery_Aorta;Artery_Tibial;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Fallopian_Tube;Nerve_Tibial;Thyroid;Uterus,0.0,,,,,,,,0.8744553620912696,0.05,0.4897
PTK7 OR SLC26A2,OR,2,0.3517661690711975,0.6482338309288025,,152.6003854646477,Adipose_Visceral_Omentum;Adrenal_Gland;Bladder;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Ovary;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Testis;Thyroid;Uterus;Vagina,4.0,,,,,,,,0.4507656077200143,0.05,0.4896
SLC26A2 OR MUC1,OR,2,0.4209815263748169,0.5790184736251831,,196.72774290104564,Adrenal_Gland;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Pancreas;Pituitary;Prostate;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Testis;Thyroid;Uterus;Vagina,6.0,,,,,,,,0.2919438441267864,0.05,0.4883
DSC2 OR FAT1,OR,2,0.3372354805469513,0.6627645492553711,,144.31686601190057,Adipose_Subcutaneous;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Thyroid;Uterus;Vagina,4.0,,,,,,,,0.4805793841316276,0.05,0.4882
DSG2 AND BACE2,AND,2,0.17846179008483887,0.8215382099151611,,45.09053779464615,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Breast_Mammary_Tissue;Colon_Transverse;Esophagus_Mucosa;Minor_Salivary_Gland;Prostate;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Thyroid,0.0,,,,,,,,0.837711588684306,0.05,0.4878
EFNA4 OR TACSTD2,OR,2,0.3753018379211426,0.6246981620788574,,168.47080492894182,Adrenal_Gland;Bladder;Breast_Mammary_Tissue;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina,4.0,,,,,,,,0.3936453051522376,0.05,0.4877
CDCP1 OR NETO2,OR,2,0.19534607231616974,0.8046539425849915,,55.78713670302298,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Cells_EBV-transformed_lymphocytes;Colon_Transverse;Esophagus_Mucosa;Minor_Salivary_Gland;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Thyroid;Vagina,2.0,,,,,,,,0.7992127344185274,0.05,0.4876
DSG2 OR DCBLD1,OR,2,0.28318530321121216,0.7168146967887878,,110.87577402311754,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Heart_Atrial_Appendage;Kidney_Cortex;Lung;Minor_Salivary_Gland;Ovary;Pancreas;Pituitary;Prostate;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Testis;Thyroid,4.0,,,,,,,,0.6009394853182223,0.05,0.4875
OPN3 AND TACSTD2,AND,2,0.10593099147081375,0.8940690159797668,,0.0,,0.0,,,,,,,,1.0,0.05,0.4872
DSC2 AND FAT1,AND,2,0.11831279844045639,0.8816872239112854,,7.799141339274091,Minor_Salivary_Gland;Vagina,0.0,,,,,,,,0.9719295816931323,0.05,0.4871
TSPAN14 OR VTCN1,OR,2,0.3036920428276062,0.6963079571723938,,124.08372240319568,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Coronary;Bladder;Breast_Mammary_Tissue;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina;Whole_Blood,3.0,,,,,,,,0.5534018629215987,0.05,0.487
DSG2 AND VTCN1,AND,2,0.12085055559873581,0.8791494369506836,,9.793192903050974,Breast_Mammary_Tissue;Minor_Salivary_Gland,0.0,,,,,,,,0.9647526555309132,0.05,0.4865
PRLR AND MUC1,AND,2,0.12797266244888306,0.8720273375511169,,14.321097825270138,Cervix_Ectocervix;Cervix_Endocervix;Uterus,0.0,,,,,,,,0.9484559659735154,0.05,0.4864
CDCP1 OR MSLN,OR,2,0.2056608349084854,0.7943391799926758,,63.095244634458396,Adipose_Visceral_Omentum;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Lung;Minor_Salivary_Gland;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Thyroid;Vagina,1.0,,,,,,,,0.7729096277375266,0.05,0.4862
PRLR OR SLC37A1,OR,2,0.22225862741470337,0.7777413725852966,,73.5858180255587,Adrenal_Gland;Brain_Cerebellum;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Lung;Minor_Salivary_Gland;Pituitary;Prostate;Small_Intestine_Terminal_Ileum;Testis;Thyroid;Uterus,2.0,,,,,,,,0.7351522938776828,0.05,0.4861
ADAM12 OR SLC33A1,OR,2,0.19004543125629425,0.8099545836448669,,53.59755493045582,Artery_Aorta;Artery_Coronary;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Fallopian_Tube;Nerve_Tibial;Ovary;Pancreas;Pituitary;Thyroid;Uterus,1.0,,,,,,,,0.8070934066104194,0.05,0.4858
DSG2 AND TACSTD2,AND,2,0.16143424808979034,0.8385657668113708,,35.793909172598944,Breast_Mammary_Tissue;Esophagus_Mucosa;Kidney_Cortex;Minor_Salivary_Gland;Pancreas;Prostate;Skin_Sun_Exposed_Lower_leg,2.0,,,,,,,,0.8711717149869732,0.05,0.4856
MET OR TACSTD2,OR,2,0.3545495569705963,0.6454504728317261,,156.75771166898414,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Bladder;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Esophagus_Mucosa;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Liver;Lung;Minor_Salivary_Gland;Nerve_Tibial;Pancreas;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Thyroid;Vagina,5.0,,,,,,,,0.43580269314810216,0.05,0.4856
NETO2,single,1,0.08487167954444885,0.9151283502578735,0.6476614158208018,18.725468353644843,Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Cells_EBV-transformed_lymphocytes,2.0,,,,,,,,0.9326038974275407,0.0,0.4855
PRLR AND TACSTD2,AND,2,0.10408906638622284,0.895910918712616,,0.0,,0.0,,,,,,,,1.0,0.05,0.4853
DSG2 AND MUC1,AND,2,0.17827759683132172,0.8217223882675171,,46.73983527913105,Breast_Mammary_Tissue;Colon_Transverse;Esophagus_Mucosa;Kidney_Cortex;Minor_Salivary_Gland;Pancreas;Prostate;Stomach;Thyroid,2.0,,,,,,,,0.8317754903001389,0.05,0.4849
TMEM106B OR PLAUR,OR,2,0.2877696454524994,0.7122303247451782,,115.4078116939207,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Adrenal_Gland;Artery_Aorta;Artery_Coronary;Artery_Tibial;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Spinal_cord_cervical_c-1;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Fallopian_Tube;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Spleen;Thyroid;Uterus;Vagina;Whole_Blood,5.0,,,,,,,,0.5846279213052321,0.05,0.4848
OPN3 OR MUC1,OR,2,0.3687118887901306,0.6312881112098694,,166.18933910948755,Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Pancreas;Prostate;Stomach;Testis;Thyroid;Uterus;Vagina,4.0,,,,,,,,0.4018566834462054,0.05,0.4847
GPR180 OR MUC1,OR,2,0.36717697978019714,0.6328229904174805,,165.374512723519,Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Pancreas;Prostate;Stomach;Testis;Thyroid;Uterus;Vagina,4.0,,,,,,,,0.4047893803299548,0.05,0.4845
