,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Breast,TNBC
EPCAM,0.26993149171119507,8.164306370124514,18.037406594326743,0.19004706509564584,0.20995394903250444,60.42092934056213,2.290035795959514,0.5550071312455672,10.720989927442812,1.2100009526937137,9.440394746689615,0.16999191298781136,83.48758297611167,0.9599944472116857,51.01936752433376,0.11999337836171715,0.625004890881194,0.7549875898299551,53.18593514199345,106.29916308363445,23.801100373079898,104.03939705399293,5.831072540551393,308.04186599271065,1.4750159600293924,47.636575098768326,21.16974303852992,198.9128608087167,0.49503793593657724,3.849377772407006,16.177433293620865,322.9116166608001
TACSTD2,2.0199028929735277,0.5150089261519424,106.22550695551774,0.3100029133246172,2.494799718154683,0.11002834948030063,0.19996274768578787,2.484563336033788,0.6700071293324552,2.689734417043652,15.188473935208306,0.23000564311170585,34.040644684220574,0.7600032139848687,60.10771052706872,0.2800697309446544,6.038805813684686,0.770009846511365,24.623115522573794,1.099988958039587,77.03713004457484,389.90971736403475,283.45900600618717,1.0550045314540846,0.709989421554317,4.600207365066682,0.5799959451451767,3.8788476413669395,1.8499760934943976,357.30095561527463,80.55945910431087,192.40366919239204
MUC1,10.680186426367264,4.879781904243432,55.52147597773235,1.0700308231914548,22.634272656778183,17.296601324183758,2.3807136987299367,51.160523272268435,61.48039427197966,69.69480898151082,192.9378684234727,2.130693472135885,210.74138111171706,1.160025774459227,469.9948622830084,0.930030283491994,60.379106076864474,7.440254356443631,96.33479183430829,16.010094199401294,48.401920074075164,101.75711212146865,12.07441064899762,22.2382257519346,6.1443738545423106,671.393534252313,72.80573458384029,65.29849819190129,42.78338585626615,40.64383144124126,75.42552209994766,142.41821543485875
EGFR,22.454547616625202,10.284664969062732,17.147375400580685,0.02999114783557167,16.724765621254086,0.04000660170599878,3.2796916447869053,20.928182315977892,10.984314326225054,20.676645290199875,16.724761603282637,2.819595920968779,4.794678307213172,13.076443794135535,14.974165962127138,5.535620144824442,29.75275816362117,11.38756953147963,4.999249210340836,3.119981920694814,18.175472603056626,21.931524879675255,46.42948180452394,9.25892173592098,3.659396672511714,6.174367692005931,4.259432813573671,16.5747242169603,14.520199463829012,27.645021996808865,23.021937280173123,10.380910135513467
ERBB2,11.606617662673427,5.104334698240502,50.87805606073433,1.3150007343105035,50.614245369260594,4.050635094712386,5.21881979075583,40.92256530125508,30.866141906692434,34.55824991465223,38.31831854780572,22.79960182638055,47.56968464616165,10.597450749062086,38.39809346042114,9.443695245390213,98.94024077461145,28.001830967639982,15.999,13.556318959137894,62.79125170885115,69.3574618780659,75.2166850188653,43.436412473541765,7.224027701974942,26.684819044942692,19.185238620657795,78.73764606407326,35.727449115096945,62.248916634386276,30.63168666224953,49.79645129954679
VTCN1,0.01000268927275063,0.01000268927275063,1.3399914139149067,0.0,0.0,0.0,0.02999114783557167,0.09501232990994199,0.0,0.0,1.3600310686170571,0.0899993468124429,3.3459648035801317,0.19500490639071685,0.050012690384431346,0.0700018290491679,0.02999114783557167,0.1150108639210089,5.718939945446762,0.0899993468124429,0.8449985633689181,12.133140362995537,0.8950011311513633,0.019992241026895265,0.0,0.04000660170599878,1.4900204035413804,0.02999114783557167,0.1150108639210089,0.04000660170599878,17.410879066732857,65.0725790906852
MSLN,0.19996274768578787,0.07499906969437561,0.2800697309446544,0.050012690384431346,0.1300328094396161,0.02999114783557167,0.40009058317624313,0.4800309167145184,0.4500486207774519,0.19004706509564584,31.03778113093552,0.07999631033958335,1.5850096438608157,0.04000660170599878,58.93235428218786,0.019992241026895265,0.38993482156429676,0.425051624656503,0.11999337836171715,0.5300059750860837,1.0400215976841116,17.076205408639364,0.5650127038854182,0.8200136749557195,0.27500061132792475,0.8200261054732233,1.2399973200906371,0.1599852036887282,5.274044738734048,0.7000066328306926,0.23000564311170585,23.10186712835994
FOLH1,0.5300059750860837,0.2800697309446544,0.6400016608422577,0.0,0.5600106252108901,0.0,7.134471008378171,0.9099855024038431,0.5399998128169408,0.7800030026030508,2.8589699727233815,0.17999227154744485,1.6950275368318755,5.275317124481601,1.5949961539351922,0.0700018290491679,8.780724320638846,0.8900016447412723,0.11999337836171715,0.19004706509564584,51.092170951494396,8.759419766348596,0.6900203008692773,0.7000066328306926,2.5649661987991434,0.20495834835914617,1.0500271956803806,0.7800030026030508,0.5399983617345847,0.5799959451451767,1.679977017469785,5.790752689518235
MUC16,0.04000660170599878,0.0,0.019992241026895265,0.0,0.0,0.0,0.0,0.12997765044496462,0.0,0.01000268927275063,9.381679593855031,0.01000268927275063,0.005001344636375315,0.005001344636375315,0.5000060742414588,0.0,0.0,0.050012690384431346,0.019992241026895265,0.2399824519351608,0.19500490639071685,14.014973041074015,0.0899993468124429,0.02999114783557167,0.04500964604521507,0.0,4.120015814480298,0.19004706509564584,0.1150108639210089,0.019992241026895265,0.6599898393063933,6.810629661991559
IGSF9,0.1300328094396161,0.06500190704884096,3.0706205394041968,0.019992241026895265,0.060001985048514034,0.0899993468124429,0.17999227154744485,0.3350141923190961,0.4549946240737202,0.1400227671820639,1.900054642058397,0.07999631033958335,0.29500798945419404,11.45152933082486,0.5350028939515122,0.019992241026895265,0.1599852036887282,0.7250184956444782,0.7699985222046803,1.0599818672277885,8.845102353594303,6.4880172446163416,12.574118470463297,5.935096900762963,0.9049930599826487,3.8993906090942483,11.018600371065103,2.160450804078703,0.8249980230116002,8.608920998270376,2.9495829141656786,15.156921129588286
OPN3,4.0802186369938305,4.0004925116950805,4.0604644034777175,2.6399224449390495,3.8950208178798547,10.62849672671139,3.0409575064820187,4.499750402614945,3.8600829399909777,3.1005728253880194,5.671560142717834,1.7299931312968873,4.6357056944232715,5.56463320807806,9.854986955234892,1.4499522078341787,8.201145784593766,4.234478716205713,1.419993544000816,5.550970876062367,2.1197332424373774,4.271261632191407,7.662481745781572,5.335913191733596,7.919001918580042,4.128594141932966,9.368681449750481,7.999,2.74448032051688,6.829541715129958,4.200778176043013,26.22634744440055
CDH3,0.34003695871983863,0.25997798185542975,4.571553341656144,0.02999114783557167,0.19996274768578787,0.01000268927275063,1.7850292213231942,22.384620362111384,0.25997798185542975,0.7800030026030508,32.73939903150183,0.0700018290491679,3.3005779414409977,0.050012690384431346,2.814716660691109,0.050012690384431346,2.1853194991129485,51.937893262073416,0.40994009364742534,7.769459964333067,21.303377282047727,17.838459499643157,16.934754386418433,0.47996372733238735,13.937497209790276,0.8600088668574302,3.3509485386717945,2.049534475777188,20.231548315981474,14.979355958951874,10.460370788294071,99.80121985424938
DSC2,3.13951247469429,0.940021767145367,1.460044378545676,1.2700269723899114,0.6200149910276705,6.578791802555575,0.5000060742414588,0.2700238564000421,1.3749800495291067,0.9000006175614542,0.9499886316676389,2.9089613672695145,1.8200175444497193,1.4449909188864771,2.975299056362439,0.15003973042374283,1.1200106621801786,0.44004568259858823,2.5998802930969607,0.28998163360053414,3.139660344985686,17.052547777087074,4.813883127785928,9.756450545304546,2.3204078287674403,1.6850031437323638,0.4499376891911248,1.6600551797630465,0.3300222275988493,93.24694328947271,5.161249961807115,53.296649336355124
SLC12A8,0.760016690419679,1.2399947716168058,1.8699876037270597,0.19004706509564584,0.9000006175614542,0.40501533841183424,1.5500014122422203,1.0500040521672929,0.5350028939515122,0.5499907483830857,1.0299683187947888,0.23000564311170585,1.590024877255098,3.124348309112262,3.8440474082813187,0.11002834948030063,0.5449952806000132,0.43007177250879797,4.558893090773844,3.478789410834603,3.170136546441138,9.278197236043475,2.1853194991129485,4.174651722092572,0.7349773561807109,2.509565694168195,4.590609655420007,38.00090931434914,0.5399983617345847,3.478789410834603,1.7299931312968873,14.112461843154824
MSR1,14.660898314805623,8.432316839359945,5.961841547195682,0.7949935797466419,7.963118253056317,0.8150204113719415,0.7800030026030508,2.714075781190834,3.109184143530234,1.7099528464954719,3.6797506024995004,1.1100317151359533,1.8600067171606276,0.8250138568004235,43.290236990763944,0.49503793593657724,9.854986955234892,1.889964627068996,0.9499886316676389,1.40004180084213,2.260061134249184,3.689969970615193,0.920017197435768,3.3655518778826963,9.94746820843515,1.2399973200906371,2.9990779785716364,2.1101074352759337,2.315590620938519,1.880000197056386,5.459374871540665,12.0326300111095
SLC4A5,1.6900273576081257,0.3200789522473564,1.6100485820975006,0.5300059750860837,1.8400132372648692,0.3799042775122886,1.0500271956803806,1.484965480537594,1.099988958039587,0.9999708770490777,2.700948169071275,0.6099812449515286,0.7250050659677529,0.26993149171119507,2.1499887809147564,0.729978054906192,5.339921652275491,1.9549977958799438,0.40994009364742534,3.659396672511714,1.900054642058397,1.8100168883826455,1.6200487208591343,1.160025774459227,1.1899838064611488,0.7399766574552298,14.61017200019187,16.5747242169603,2.1906235328953816,1.600029621312606,1.9699620524648933,0.6799873952481095
CELSR1,1.579959050553961,0.9499886316676389,3.8896197896491422,0.16999191298781136,0.5200161508304486,0.019992241026895265,0.1300328094396161,4.491167613026606,0.8849965708787966,2.08972020041033,7.949248746580439,1.9900093553412344,11.30534061227733,2.014809336919075,16.730560319981556,0.0899993468124429,0.9049930599826487,0.5250110629582662,0.49006979763169567,17.362669950108916,9.899495834819444,11.141491845352283,16.155024642651558,2.0550051244092216,5.399620257989025,5.804921395032299,3.0409575064820187,12.986033295636457,2.385109412370325,13.23137389509225,6.30183108839477,9.440394746689615
DSG2,10.71726881942273,0.5449952806000132,22.73647269090175,0.019992241026895265,0.5000060742414588,35.71709575391367,0.0700018290491679,0.4300710710662794,2.244565026846395,1.3399914139149067,4.788914818475714,5.92886803921134,5.5110281759030855,2.5596507291479176,4.355014221965519,0.2850256822725943,1.7600062140429826,7.160033097422761,6.25829425389209,1.5700183152920284,6.210751000008316,20.406110266856707,3.715646268348596,16.73684555067036,0.0700018290491679,8.477704586182583,1.5899626865577787,10.628486512772094,1.680006883733167,5.421657307200004,17.435033795413247,48.80545290420109
ADCY7,7.279310592647192,3.8748439445680853,4.83897635687717,13.16732552445933,5.593485833985612,35.28495571505542,1.4999750542458536,3.654497911073408,4.3144919773994985,7.139375771783812,8.44928500281486,2.0796005330439717,1.1599966112939883,1.3299817587797906,22.626465919335267,0.8950011311513633,10.345001396627042,18.05076412235468,0.9999708770490777,3.2300431104384324,3.109184143530234,6.328098409483598,11.122206110384848,7.373641233494722,29.191062617292815,2.4455408430546823,1.900054642058397,3.7596968100365045,3.3544694978630423,8.36188080164132,4.140059695365509,8.077010380773485
MET,7.5099739785236155,0.2199818827659178,8.298359492524892,0.019992241026895265,2.6197868077167263,1.6550046336739421,0.40009058317624313,3.919397661367483,3.419008711567891,2.1997572187322745,2.8001126417744095,1.5500014122422203,4.925287340429902,6.862765892287701,6.055583677073759,4.128594141932966,10.402531169195647,0.40501533841183424,2.310773413109598,3.830740872890786,3.554401472105044,6.791769971574716,4.973325034333219,2.449455429031945,2.300467630252144,2.5748028601841955,0.3300222275988493,8.741221912807621,3.154879094411034,3.979638887280332,8.060230083284035,8.25246543441087
CDCP1,0.8100147172706595,0.41498578522581664,5.229685394147035,0.1550124670562355,0.5100017014734363,16.73642336883843,0.15003973042374283,0.4750091018356836,0.8800047422094421,1.3899783836430508,1.7800154109612603,0.11002834948030063,2.124529638403793,0.1150108639210089,4.1243049782066326,0.11002834948030063,0.47996372733238735,0.1849773303367996,2.569412674938746,1.2500157909148952,4.9048632448864256,9.492894381252256,12.5915996762083,6.99007660127268,0.5600106252108901,4.219764236655731,0.8000143535812515,6.628959235903937,3.9700471608888463,16.55176130430255,2.569412674938746,14.630441431998424
